Yahoo!ニュース,Yahoo!ニュース（ヤフーニュース）は、Yahoo! JAPANが運営するニュースサイト。日本国内や海外のニュース・話題を多岐にわたり提供しているサイトである。,http://news.yahoo.co.jp/pickup/rss.xml,meta
トピックス,トピックス,http://news.yahoo.co.jp/pickup/rss.xml,meta
トップ,トップ,http://news.yahoo.co.jp/pickup/rss.xml,meta
知事,知事（ちじ）は、地方行政区画を統轄する官庁の長のことである。英語では governor というが、古代ローマの属州や、イギリスの海外領土の governor は、「知事」ではなく「総督」と訳されることもある。,http://news.yahoo.co.jp/pickup/rss.xml,meta
五輪,五輪（ごりん）,http://news.yahoo.co.jp/pickup/rss.xml,meta
視察,見学（けんがく）とは、実地を見ることによって、見聞と理解を深めることである。教育学の分野では、ヨハン・ハインリヒ・ペスタロッチが「実物教授」を唱えて以来、この方向への道筋が開かれ、20世紀初頭の新教育運動の中で、学習のための遠足、見学が教育現場に方法として取り込まれるようになってきた。,http://news.yahoo.co.jp/pickup/rss.xml,meta
波紋,波紋（はもん）,http://news.yahoo.co.jp/pickup/rss.xml,meta
FB,FB,http://news.yahoo.co.jp/pickup/rss.xml,meta
男,男性（だんせい、 希: Άνδρας、仏: Homme、英: Man）は、女性と対比されるヒト（人間）の性別のこと。 一般には生物学の雄と同義だが、社会・個人の価値観や性向に基づいた多様な見方が存在する。,http://news.yahoo.co.jp/pickup/rss.xml,meta
有罪判決,判決（はんけつ）,http://news.yahoo.co.jp/pickup/rss.xml,meta
実験,実験（じっけん、英語: experiment）は、構築された仮説や、既存の理論が実際に当てはまるかどうかを確認することや、既存の理論からは予測が困難な対象について、さまざまな条件の下で様々な測定を行うこと。知識を得るための手法の一つ。,http://news.yahoo.co.jp/pickup/rss.xml,meta
中,中（なか、ちゅう）,http://news.yahoo.co.jp/pickup/rss.xml,meta
爆発,爆発（ばくはつ、英語: explosion）とは、,http://news.yahoo.co.jp/pickup/rss.xml,meta
学生,学習者における在籍者（ざいせきしゃ）は、学校などに在籍している者のことである。,http://news.yahoo.co.jp/pickup/rss.xml,meta
やけど,熱傷（ねっしょう）とは、お湯や油などの熱により生じる損傷を言う。通称はやけど（火傷）。 化学薬品・放射線などが原因で生じる組織の損傷は化学損傷という。,http://news.yahoo.co.jp/pickup/rss.xml,meta
駅,駅（えき、うまや）,http://news.yahoo.co.jp/pickup/rss.xml,meta
ラーメン,ラーメンとは、中華麺とスープ、様々な具（チャーシュー・メンマ・味付け玉子・刻み葱など）を組み合わせた麺料理（ただし具を入れない場合もある。）出汁、タレ、香味油の3要素から成るスープ料理としての側面も大きい。漢字表記は拉麺、老麺[2]または柳麺。別名は中華そばおよび支那そば・南京そば[3][4]などである。,http://news.yahoo.co.jp/pickup/rss.xml,meta
原因,ここでは因果性（いんがせい、英: causality）について解説する。,http://news.yahoo.co.jp/pickup/rss.xml,meta
ゲイツ,ゲイツ,http://news.yahoo.co.jp/pickup/rss.xml,meta
氏,氏,http://news.yahoo.co.jp/pickup/rss.xml,meta
LinkedIn,LinkedIn（リンクトイン）は、2003年5月にサービスを開始した、世界最大級のビジネス特化型ソーシャル・ネットワーキング・サービス、及び、同サービスを提供するアメリカ合衆国カリフォルニア州シリコンバレーの企業。2014年8月現在の登録ユーザーは全世界で3億1300万人を超え、日本では、現在100万人以上が会員登録をしている[3]。,http://news.yahoo.co.jp/pickup/rss.xml,meta
買収,買収（ばいしゅう）,http://news.yahoo.co.jp/pickup/rss.xml,meta
言及,書誌学における参照（さんしょう、英語: citation）とは、記事に参考文献の書誌情報を添えること。記事の信頼性の向上や引用の出どころの明示を目的に、学術論文や総説、専門書、オープンソースの百科事典などで行われる。この行為は学界では引用とも呼ばれることがあるが[1]:p.9、引用は著作権法では合法な転載（英語: quotation）を指す（第32条）。もっとも、正当な引用には必ず出どころの明示が付随するので（第48条）、参照とは密接な関係にある。,http://news.yahoo.co.jp/pickup/rss.xml,meta
南米,南アメリカ（みなみアメリカ、スペイン語: América del Sur、ポルトガル語: América do Sul、オランダ語: Zuid-Amerika、フランス語: Amérique du Sud）は、南アメリカ大陸とその周辺の島嶼・海域を含む地域の総称で、六大州の一つ。南米（なんべい）ともいう。ラテンアメリカに含まれる。西半球、南半球に位置し、西は太平洋に、東と北は大西洋に面している。北アメリカとカリブ海が北西に横たわっている。,http://news.yahoo.co.jp/pickup/rss.xml,meta
カズ,カズ,http://news.yahoo.co.jp/pickup/rss.xml,meta
リアル,リアル,http://news.yahoo.co.jp/pickup/rss.xml,meta
翼,翼（つばさ）は、鳥や航空機などの飛翔体が備え、空気中での飛行のために使用される構造。さらに広義の用法もある。文脈によっては「ヨク」とも読む。,http://news.yahoo.co.jp/pickup/rss.xml,meta
